#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
1188,100.0,100.0,99.8,0.2,0,0.8
1199,100.0,100.0,99.8,0.2,0,0.8
1208,100.0,100.0,99.8,0.2,0,0.8
1218,100.0,100.0,99.8,0.2,0,0.8
1229,100.0,100.0,99.8,0.2,0,0.8
1238,100.0,100.0,99.8,0.2,0,0.8
1248,100.0,100.0,99.8,0.2,0,0.9
1258,100.0,100.0,99.8,0.2,0,0.8
1268,100.0,100.0,99.8,0.2,0,0.8
1278,100.0,100.0,99.8,0.2,0,0.8
1288,100.0,100.0,99.8,0.2,0,0.8
1298,100.0,100.0,99.8,0.2,0,0.8
1308,100.0,100.0,99.8,0.2,0,0.8
1318,100.0,100.0,99.8,0.2,0,0.8
1328,100.0,100.0,99.8,0.2,0,0.8
1338,100.0,100.0,99.8,0.2,0,0.8
1348,100.0,100.0,99.8,0.2,0,0.8
1358,100.0,100.0,99.8,0.2,0,0.8
1368,100.0,100.0,99.8,0.2,0,0.8
1378,100.0,100.0,99.8,0.2,0,0.8
1388,100.0,100.0,99.8,0.2,0,0.8
1398,100.0,100.0,99.8,0.2,0,0.8
1408,100.0,100.0,99.8,0.2,0,0.8
1418,100.0,100.0,99.8,0.2,0,0.8
1429,100.0,100.0,99.8,0.2,0,0.8
1439,100.0,100.0,99.8,0.2,0,0.8
1448,100.0,100.0,99.8,0.2,0,0.8
1458,100.0,100.0,99.8,0.2,0,0.8
1468,100.0,100.0,99.8,0.2,0,0.8
1478,100.0,100.0,99.8,0.2,0,0.8
1488,100.0,100.0,99.8,0.2,0,0.8
1498,100.0,100.0,99.8,0.2,0,0.8
1508,100.0,100.0,99.8,0.2,0,0.8
1518,100.0,100.0,99.8,0.2,0,0.8
1528,100.0,100.0,99.8,0.2,0,0.8
1539,100.0,100.0,99.8,0.2,0,0.8
1548,100.0,100.0,99.8,0.2,0,0.8
1558,100.0,100.0,99.8,0.2,0,0.8
1568,100.0,100.0,99.8,0.2,0,0.8
1578,100.0,100.0,99.8,0.2,0,0.8
1588,100.0,100.0,99.8,0.2,0,0.8
1598,100.0,100.0,99.8,0.2,0,0.8
1608,100.0,100.0,99.8,0.2,0,0.8
1618,100.0,100.0,99.8,0.2,0,0.8
1629,200.0,200.0,99.7,100.3,3,60.0
1638,200.0,200.0,100.0,100.1,516,43.7
1648,200.0,200.0,102.4,97.5,455,46.8
1658,200.0,200.0,106.6,93.0,404,50.0
1668,200.0,200.0,112.9,86.7,377,51.5
1678,200.0,200.0,119.2,80.6,359,52.6
